id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,xaxis,yaxis,n,own,coli
1766985,"Queen sofabed, doorlock, shelves, AC, location!",9283916,Alex,,Brighton,42.34984805,-71.1401258,Private room,57,4,3,7/31/18,0.05,2,284,18,4,2,0,1
1810172,Room for 2 in Rozzie - Full Bath,8834105,Rebecca,,Roslindale,42.28208581,-71.13334868,Private room,67,2,32,8/4/18,0.54,2,349,19,4,2,0,1
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,Stacy,,South End,42.34363868,-71.07023501,Entire home/apt,900,4,35,7/17/18,0.68,1,341,20,4,1,0,1
1815326,Back Bay Elegance in Brighton,9508341,Phyllis,,Brighton,42.35508797,-71.16241976,Private room,99,1,230,9/2/18,4.43,2,318,21,4,2,0,1
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,Suzanne,,Fenway,42.34947356,-71.09264659,Entire home/apt,246,30,2,5/24/18,0.06,4,348,22,4,4,0,1
1821633,Queen Size Four Poster Bed,7799789,Bruce,,Dorchester,42.30957665,-71.0479234,Private room,100,1,180,9/8/18,3.03,3,312,23,4,3,0,1
1860279,Gorgeous BackBay 2 bedroom!  Amazing location.,4789620,Pallavi,,Back Bay,42.3499502,-71.08953323,Entire home/apt,285,30,9,2/19/16,0.15,1,256,24,4,1,0,1
1861070,Charming Gambrel on a sweet street,8879967,Joanne,,Roslindale,42.27691292,-71.12823284,Private room,75,1,34,9/8/18,0.63,1,363,25,4,1,0,1
1863443,Lux 1 Bedroom by Fenway with washer/dryer & WIFI,9419684,Mike,,Fenway,42.34460149,-71.10171898,Entire home/apt,213,3,6,4/29/17,0.11,137,54,26,4,137,1,1
1864705,Lux 2 Bedroom by Fenway with washer/dryer & WIFI,9419684,Mike,,Fenway,42.34339556,-71.10105888,Entire home/apt,298,3,11,9/28/16,0.21,137,139,27,4,137,1,1
1867834,Lux 2 Bedroom Apt Near Waterfront w/wifi,9419684,Mike,,West End,42.36448505,-71.06900011,Entire home/apt,293,7,4,9/19/14,0.07,137,0,28,4,137,1,1
1867881,"Lux 2 Bedroom near Charles St w/gym, & WiFi",9419684,Mike,,West End,42.36511606,-71.06926305,Entire home/apt,312,7,6,4/17/18,0.11,137,96,29,4,137,1,1
1868004,Lux 1 Bedroom near Charles St w/gym & WiFi,9419684,Mike,,West End,42.36325104,-71.06735805,Entire home/apt,217,7,6,4/26/15,0.12,137,109,30,4,137,1,1
1868124,Lux Downtown Boston 1 Bedroom Apt w/pool,9419684,Mike,,Downtown,42.35130793,-71.06350574,Entire home/apt,244,3,9,9/7/16,0.18,137,109,31,4,137,1,1
1868513,Lux 1 Bedroom in Post-War Back Bay building w/WiFi,9419684,Mike,,Back Bay,42.34619686,-71.07856622,Entire home/apt,231,3,6,1/6/15,0.11,137,242,32,4,137,1,1
1873046,"Cute 1 Bedroom Apartment, Downtown Boston",2356643,Voyage,,Downtown,42.35284077,-71.06260646,Entire home/apt,195,2,99,8/31/18,1.86,12,200,33,4,12,1,1
1881298,Private Apartment- Minutes from T!,1920539,Caitlin & Dan,,Jamaica Plain,42.30026388,-71.11180739,Entire home/apt,115,1,383,9/9/18,6.5,1,260,34,4,1,0,1
1886037,Beautiful Penthouse in Beacon Hill,1587128,Daniel,,Beacon Hill,42.36056065,-71.07140572,Entire home/apt,230,7,1,7/24/15,0.03,1,0,35,4,1,0,1
1887507,Location!! Downtown Near Waterfront,970787,Poli,,South Boston,42.34065579,-71.05116632,Private room,100,2,61,6/27/18,1.03,2,144,36,4,2,0,1
1887581,"Beautiful 2bdrm, Near Convention Ctr, Waterfront",970787,Poli,,South Boston,42.34098303,-71.05023468,Entire home/apt,250,2,111,9/7/18,1.89,2,219,37,4,2,0,1
1899770,Stay in the heart of the South End,2120544,Samuel,,South End,42.3402452,-71.07663628,Private room,125,2,7,4/22/16,0.2,1,0,38,4,1,0,1
1935042,Cozy Room in Quaker Community,10013311,Beacon,,Beacon Hill,42.35705638,-71.06618168,Private room,110,1,160,8/30/18,2.82,2,102,39,4,2,0,1
1937433,"Clean Getaway-near BU, BC, Harvard.",10024266,Jarah,,Brighton,42.34799403,-71.14258802,Private room,68,1,19,11/19/17,0.68,1,0,40,4,1,0,1
1944976,1 room with queen bed in Boston...,10060070,Diana,,Dorchester,42.31160698,-71.04612722,Private room,76,2,5,9/6/15,0.12,1,0,41,4,1,0,1
1948096,2 Br Duplex PH - South End/Back Bay,10074105,John,,Back Bay,42.34327133,-71.0812668,Entire home/apt,405,5,3,9/29/15,0.07,1,364,42,4,1,0,1
1949996,Beautiful 1BR in Great Location,8829183,Eran,,Jamaica Plain,42.30781578,-71.11674524,Entire home/apt,120,2,31,7/30/17,0.54,1,0,43,4,1,0,1
1956275,"Beautiful 3 bd- 1.5 bath with parking, in Boston.",9622924,Emmanuel,,Jamaica Plain,42.30829329,-71.12399112,Entire home/apt,499,2,102,8/10/18,1.8,1,350,44,4,1,0,1
1960407,Sunny Room in Quaker Community,10013311,Beacon,,Beacon Hill,42.35679703,-71.06749001,Private room,125,1,102,8/16/18,1.77,2,119,45,4,2,0,1
1961034,1BR in Brighton,10133129,Alp,,Brighton,42.34001059,-71.15542633,Entire home/apt,114,1,1,5/21/16,0.04,1,0,46,4,1,0,1
1964878,Lux 2 Bedroom in Post-War Back Bay building w/WiFi,9419684,Mike,,Back Bay,42.34596644,-71.07829728,Entire home/apt,293,3,13,9/30/17,0.24,137,253,47,4,137,1,1
1966195,Lux Downtown Boston 2 Bedroom Apt w/pool,9419684,Mike,,Downtown,42.35089832,-71.0632129,Entire home/apt,312,3,33,5/4/18,0.61,137,106,48,4,137,1,1
2000797,"Sea view,balcony,15min by metro to center,safe st",9898255,Jessica,,Dorchester,42.31489519,-71.06119371,Private room,70,2,117,8/22/18,2.28,5,346,49,4,5,0,1
2014651,One Private Bedroom in J.P.,2155838,Molly,,Jamaica Plain,42.30711034,-71.10582363,Private room,120,2,34,9/2/18,0.59,1,363,50,4,1,0,1
2014882,1 bedroom and private bathroom,1521296,Yossi,,Brighton,42.34126052,-71.15717343,Private room,70,3,182,9/4/18,3.53,2,189,51,4,2,0,1
2016500,Studio Apartment in Fenway,10370843,Marco,,Fenway,42.34582345,-71.08936151,Entire home/apt,150,1,5,5/1/16,0.15,1,0,52,4,1,0,1
2021483,Spacious Updated 2 Bed Boston Condo,10197317,Shannon,,South Boston,42.33535159,-71.04741305,Entire home/apt,500,1,4,7/16/17,0.15,2,341,53,4,2,0,1
2021489,Spacious Updated Boston Room/Condo,10197317,Shannon,,South Boston,42.33323136,-71.04932744,Private room,200,1,51,9/7/18,1.74,2,340,54,4,2,0,1
2022303,LOCATION! Modern 2BD 2 BA w/Parking,10393465,Gary,,South Boston,42.341792,-71.05273626,Entire home/apt,250,2,140,8/22/18,2.46,2,293,55,4,2,0,1
2108738,Back Bay Studio,10750832,Tom,,Back Bay,42.35046437,-71.08893992,Entire home/apt,150,3,34,8/14/16,0.59,1,0,56,4,1,0,1
2114274,Sunny private room with comfy bed,2152299,Isaac & CK,,Allston,42.35136145,-71.12615239,Private room,80,3,42,6/9/18,0.75,1,319,57,4,1,0,1
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,Janet,,Beacon Hill,42.3567161,-71.0714717,Entire home/apt,165,5,75,9/7/18,1.39,1,242,58,4,1,0,1
